compound_id,target_id,target_name,assay_id,standard_type,standard_value,standard_units,pchembl_value,activity_type,source,MW,LogP,HBA,HBD
CHEMBL1000038,CHEMBL302,Cyclooxygenase-1,CHEMBL1900003,Ki,168.84,nM,6.77,BINDING,ChEMBL,369.4,4.96,6,0
CHEMBL1000039,CHEMBL388,Tumor necrosis factor,CHEMBL1900003,Ki,51.66,nM,7.29,BINDING,ChEMBL,211.5,4.23,5,3
CHEMBL1000040,CHEMBL231,Histamine H1 receptor,CHEMBL1900004,IC50,3293.53,nM,5.48,BINDING,ChEMBL,349.5,2.98,3,0
CHEMBL1000041,CHEMBL218,Dopamine D2 receptor,CHEMBL1900004,Ki,1148.37,nM,5.94,BINDING,ChEMBL,345.0,3.65,2,0
CHEMBL1000042,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900004,Ki,13687.03,nM,4.86,BINDING,ChEMBL,341.4,1.26,2,1
CHEMBL1000043,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900004,EC50,762.94,nM,6.12,BINDING,ChEMBL,418.1,1.76,2,2
CHEMBL1000044,CHEMBL219,D1 dopamine receptor,CHEMBL1900004,Ki,17857.84,nM,4.75,BINDING,ChEMBL,418.1,1.31,3,2
CHEMBL1000045,CHEMBL205,Histamine H2 receptor,CHEMBL1900004,Ki,25563.53,nM,4.59,BINDING,ChEMBL,298.3,1.2,3,2
CHEMBL1000046,CHEMBL302,Cyclooxygenase-1,CHEMBL1900004,IC50,4.48,nM,8.35,BINDING,ChEMBL,319.0,1.7,3,3
CHEMBL1000047,CHEMBL388,Tumor necrosis factor,CHEMBL1900004,Ki,11213.26,nM,4.95,BINDING,ChEMBL,283.7,1.85,2,2
CHEMBL1000048,CHEMBL231,Histamine H1 receptor,CHEMBL1900004,EC50,3.7,nM,8.43,BINDING,ChEMBL,292.1,1.86,5,1
CHEMBL1000049,CHEMBL218,Dopamine D2 receptor,CHEMBL1900004,Ki,1459.79,nM,5.84,BINDING,ChEMBL,228.1,3.46,2,1
CHEMBL1000050,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900005,EC50,34079.72,nM,4.47,BINDING,ChEMBL,430.5,1.81,4,2
CHEMBL1000051,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900005,Ki,9.62,nM,8.02,BINDING,ChEMBL,356.9,2.31,4,1
CHEMBL1000052,CHEMBL219,D1 dopamine receptor,CHEMBL1900005,Ki,704.4,nM,6.15,BINDING,ChEMBL,328.4,3.64,4,2
CHEMBL1000053,CHEMBL205,Histamine H2 receptor,CHEMBL1900005,EC50,6123.71,nM,5.21,BINDING,ChEMBL,279.2,2.84,3,5
CHEMBL1000054,CHEMBL302,Cyclooxygenase-1,CHEMBL1900005,Ki,64516.16,nM,4.19,BINDING,ChEMBL,470.8,2.98,3,1
CHEMBL1000055,CHEMBL388,Tumor necrosis factor,CHEMBL1900005,Ki,90.29,nM,7.04,BINDING,ChEMBL,427.1,3.67,4,2
CHEMBL1000056,CHEMBL231,Histamine H1 receptor,CHEMBL1900005,Ki,228.97,nM,6.64,BINDING,ChEMBL,364.4,5.67,1,6
CHEMBL1000057,CHEMBL218,Dopamine D2 receptor,CHEMBL1900005,IC50,17.44,nM,7.76,BINDING,ChEMBL,270.8,2.35,5,2
CHEMBL1000058,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900005,Ki,163.99,nM,6.79,BINDING,ChEMBL,418.2,-0.28,4,1
CHEMBL1000059,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900005,IC50,6235.79,nM,5.21,BINDING,ChEMBL,331.5,3.34,2,1
CHEMBL1000060,CHEMBL219,D1 dopamine receptor,CHEMBL1900006,IC50,4.28,nM,8.37,BINDING,ChEMBL,295.8,2.68,3,1
CHEMBL1000061,CHEMBL205,Histamine H2 receptor,CHEMBL1900006,IC50,2.61,nM,8.58,BINDING,ChEMBL,461.1,-0.69,3,3
CHEMBL1000062,CHEMBL302,Cyclooxygenase-1,CHEMBL1900006,Ki,316.32,nM,6.5,BINDING,ChEMBL,388.8,1.57,1,1
CHEMBL1000063,CHEMBL388,Tumor necrosis factor,CHEMBL1900006,IC50,2407.16,nM,5.62,BINDING,ChEMBL,321.9,2.22,4,2
CHEMBL1000064,CHEMBL231,Histamine H1 receptor,CHEMBL1900006,EC50,0.12,nM,9.91,BINDING,ChEMBL,250.7,1.52,3,2
CHEMBL1000065,CHEMBL218,Dopamine D2 receptor,CHEMBL1900006,Ki,1765.14,nM,5.75,BINDING,ChEMBL,347.0,3.82,3,2
CHEMBL1000066,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900006,EC50,6.83,nM,8.17,BINDING,ChEMBL,246.9,2.62,1,1
CHEMBL1000067,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900006,IC50,285437.86,nM,3.54,BINDING,ChEMBL,312.5,3.13,0,1
CHEMBL1000068,CHEMBL219,D1 dopamine receptor,CHEMBL1900006,IC50,1558.71,nM,5.81,BINDING,ChEMBL,202.7,0.96,1,1
CHEMBL1000069,CHEMBL205,Histamine H2 receptor,CHEMBL1900006,Ki,1887.47,nM,5.72,BINDING,ChEMBL,276.1,0.88,4,3
CHEMBL1000070,CHEMBL302,Cyclooxygenase-1,CHEMBL1900007,IC50,590.09,nM,6.23,BINDING,ChEMBL,214.8,3.68,2,3
CHEMBL1000071,CHEMBL388,Tumor necrosis factor,CHEMBL1900007,IC50,447.4,nM,6.35,BINDING,ChEMBL,399.7,0.62,1,1
CHEMBL1000072,CHEMBL231,Histamine H1 receptor,CHEMBL1900007,IC50,3884.37,nM,5.41,BINDING,ChEMBL,380.4,3.23,5,3
CHEMBL1000073,CHEMBL218,Dopamine D2 receptor,CHEMBL1900007,IC50,964.85,nM,6.02,BINDING,ChEMBL,263.5,3.76,8,2
CHEMBL1000074,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900007,IC50,1711.75,nM,5.77,BINDING,ChEMBL,335.1,1.97,5,1
CHEMBL1000075,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900007,IC50,0.44,nM,9.35,BINDING,ChEMBL,308.6,4.19,6,2
CHEMBL1000076,CHEMBL219,D1 dopamine receptor,CHEMBL1900007,Ki,129819.7,nM,3.89,BINDING,ChEMBL,347.2,2.78,4,0
CHEMBL1000077,CHEMBL205,Histamine H2 receptor,CHEMBL1900007,IC50,4.69,nM,8.33,BINDING,ChEMBL,260.2,2.96,5,1
CHEMBL1000078,CHEMBL302,Cyclooxygenase-1,CHEMBL1900007,Ki,17691.66,nM,4.75,BINDING,ChEMBL,463.6,1.82,3,1
CHEMBL1000079,CHEMBL388,Tumor necrosis factor,CHEMBL1900007,EC50,43.95,nM,7.36,BINDING,ChEMBL,301.0,2.03,6,2
CHEMBL1000080,CHEMBL231,Histamine H1 receptor,CHEMBL1900008,Ki,3465.39,nM,5.46,BINDING,ChEMBL,308.6,2.77,5,2
CHEMBL1000081,CHEMBL218,Dopamine D2 receptor,CHEMBL1900008,EC50,1629.19,nM,5.79,BINDING,ChEMBL,382.4,3.36,5,2
CHEMBL1000082,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900008,IC50,5018.13,nM,5.3,BINDING,ChEMBL,379.5,2.03,2,3
CHEMBL1000083,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900008,IC50,394.49,nM,6.4,BINDING,ChEMBL,371.3,2.02,5,2
CHEMBL1000084,CHEMBL219,D1 dopamine receptor,CHEMBL1900008,IC50,162.8,nM,6.79,BINDING,ChEMBL,445.6,0.67,0,4
CHEMBL1000085,CHEMBL205,Histamine H2 receptor,CHEMBL1900008,IC50,41.82,nM,7.38,BINDING,ChEMBL,234.2,-0.14,3,0
CHEMBL1000086,CHEMBL302,Cyclooxygenase-1,CHEMBL1900008,EC50,142.49,nM,6.85,BINDING,ChEMBL,332.2,1.12,4,3
CHEMBL1000087,CHEMBL388,Tumor necrosis factor,CHEMBL1900008,IC50,0.22,nM,9.66,BINDING,ChEMBL,377.4,3.05,4,0
CHEMBL1000088,CHEMBL231,Histamine H1 receptor,CHEMBL1900008,IC50,1837.28,nM,5.74,BINDING,ChEMBL,295.9,4.66,2,2
CHEMBL1000089,CHEMBL218,Dopamine D2 receptor,CHEMBL1900008,Ki,10849.76,nM,4.96,BINDING,ChEMBL,313.8,-0.41,5,1
CHEMBL1000090,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900009,IC50,3193.91,nM,5.5,BINDING,ChEMBL,332.3,2.53,2,1
CHEMBL1000091,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900009,IC50,5185.78,nM,5.29,BINDING,ChEMBL,429.1,3.25,1,0
CHEMBL1000092,CHEMBL219,D1 dopamine receptor,CHEMBL1900009,EC50,66.19,nM,7.18,BINDING,ChEMBL,354.8,1.72,6,4
CHEMBL1000093,CHEMBL205,Histamine H2 receptor,CHEMBL1900009,Ki,26.11,nM,7.58,BINDING,ChEMBL,297.9,1.92,4,4
CHEMBL1000094,CHEMBL302,Cyclooxygenase-1,CHEMBL1900009,IC50,2847.05,nM,5.55,BINDING,ChEMBL,329.4,0.5,5,1
CHEMBL1000095,CHEMBL388,Tumor necrosis factor,CHEMBL1900009,IC50,1700.82,nM,5.77,BINDING,ChEMBL,436.3,2.45,5,3
CHEMBL1000096,CHEMBL231,Histamine H1 receptor,CHEMBL1900009,Ki,807.54,nM,6.09,BINDING,ChEMBL,348.0,3.91,3,2
CHEMBL1000097,CHEMBL218,Dopamine D2 receptor,CHEMBL1900009,IC50,1124.25,nM,5.95,BINDING,ChEMBL,438.6,1.65,3,0
CHEMBL1000098,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900009,EC50,2557.49,nM,5.59,BINDING,ChEMBL,225.5,1.99,3,0
CHEMBL1000099,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900009,EC50,304.44,nM,6.52,BINDING,ChEMBL,379.0,4.06,2,1
CHEMBL1000100,CHEMBL219,D1 dopamine receptor,CHEMBL1900010,Ki,423.49,nM,6.37,BINDING,ChEMBL,408.6,2.4,2,3
CHEMBL1000101,CHEMBL205,Histamine H2 receptor,CHEMBL1900010,IC50,1.37,nM,8.86,BINDING,ChEMBL,181.9,6.03,2,2
CHEMBL1000102,CHEMBL302,Cyclooxygenase-1,CHEMBL1900010,EC50,1472.71,nM,5.83,BINDING,ChEMBL,393.8,1.4,7,3
CHEMBL1000103,CHEMBL388,Tumor necrosis factor,CHEMBL1900010,Ki,64196.55,nM,4.19,BINDING,ChEMBL,430.4,2.2,5,5
CHEMBL1000104,CHEMBL231,Histamine H1 receptor,CHEMBL1900010,Ki,2266.73,nM,5.64,BINDING,ChEMBL,247.8,0.53,3,1
CHEMBL1000105,CHEMBL218,Dopamine D2 receptor,CHEMBL1900010,IC50,1978.64,nM,5.7,BINDING,ChEMBL,170.1,1.68,3,1
CHEMBL1000106,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900010,IC50,58.28,nM,7.23,BINDING,ChEMBL,404.4,3.19,2,1
CHEMBL1000107,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900010,EC50,388.41,nM,6.41,BINDING,ChEMBL,289.7,2.16,2,2
CHEMBL1000108,CHEMBL219,D1 dopamine receptor,CHEMBL1900010,Ki,250.05,nM,6.6,BINDING,ChEMBL,271.4,2.23,2,2
CHEMBL1000109,CHEMBL205,Histamine H2 receptor,CHEMBL1900010,IC50,1.4,nM,8.85,BINDING,ChEMBL,367.9,4.14,0,5
CHEMBL1000110,CHEMBL302,Cyclooxygenase-1,CHEMBL1900011,EC50,795.13,nM,6.1,BINDING,ChEMBL,328.0,3.4,3,2
CHEMBL1000111,CHEMBL388,Tumor necrosis factor,CHEMBL1900011,Ki,31799.22,nM,4.5,BINDING,ChEMBL,400.7,3.0,1,0
CHEMBL1000112,CHEMBL231,Histamine H1 receptor,CHEMBL1900011,Ki,107.28,nM,6.97,BINDING,ChEMBL,466.8,0.48,3,2
CHEMBL1000113,CHEMBL218,Dopamine D2 receptor,CHEMBL1900011,Ki,656.48,nM,6.18,BINDING,ChEMBL,303.5,1.28,2,1
CHEMBL1000114,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900011,EC50,17627.14,nM,4.75,BINDING,ChEMBL,387.0,5.04,4,3
CHEMBL1000115,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900011,IC50,676.09,nM,6.17,BINDING,ChEMBL,363.5,0.8,1,4
CHEMBL1000116,CHEMBL219,D1 dopamine receptor,CHEMBL1900011,EC50,13825.82,nM,4.86,BINDING,ChEMBL,355.8,3.44,3,1
CHEMBL1000117,CHEMBL205,Histamine H2 receptor,CHEMBL1900011,Ki,786.17,nM,6.1,BINDING,ChEMBL,264.4,1.43,1,3
CHEMBL1000118,CHEMBL302,Cyclooxygenase-1,CHEMBL1900011,EC50,8.19,nM,8.09,BINDING,ChEMBL,370.1,2.5,3,6
CHEMBL1000119,CHEMBL388,Tumor necrosis factor,CHEMBL1900011,IC50,5128.04,nM,5.29,BINDING,ChEMBL,352.3,2.49,5,2
CHEMBL1000120,CHEMBL231,Histamine H1 receptor,CHEMBL1900012,Ki,1000000.0,nM,3.0,BINDING,ChEMBL,390.6,2.56,3,0
CHEMBL1000121,CHEMBL218,Dopamine D2 receptor,CHEMBL1900012,IC50,89460.99,nM,4.05,BINDING,ChEMBL,332.9,4.29,2,3
CHEMBL1000122,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900012,IC50,8723.06,nM,5.06,BINDING,ChEMBL,351.3,1.63,6,0
CHEMBL1000123,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900012,Ki,4510.34,nM,5.35,BINDING,ChEMBL,446.6,2.12,2,2
CHEMBL1000124,CHEMBL219,D1 dopamine receptor,CHEMBL1900012,IC50,291.26,nM,6.54,BINDING,ChEMBL,270.5,2.46,3,1
CHEMBL1000125,CHEMBL205,Histamine H2 receptor,CHEMBL1900012,Ki,125.35,nM,6.9,BINDING,ChEMBL,280.0,-0.23,7,1
CHEMBL1000126,CHEMBL302,Cyclooxygenase-1,CHEMBL1900012,IC50,4036.56,nM,5.39,BINDING,ChEMBL,372.1,3.46,1,1
CHEMBL1000127,CHEMBL388,Tumor necrosis factor,CHEMBL1900012,Ki,2475.28,nM,5.61,BINDING,ChEMBL,369.0,1.95,1,0
CHEMBL1000128,CHEMBL231,Histamine H1 receptor,CHEMBL1900012,IC50,130783.08,nM,3.88,BINDING,ChEMBL,266.2,3.14,1,2
CHEMBL1000129,CHEMBL218,Dopamine D2 receptor,CHEMBL1900012,Ki,590.8,nM,6.23,BINDING,ChEMBL,372.5,1.39,3,4
CHEMBL1000130,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900013,IC50,1.24,nM,8.91,BINDING,ChEMBL,320.8,1.49,3,3
CHEMBL1000131,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900013,IC50,5.27,nM,8.28,BINDING,ChEMBL,418.8,1.8,6,3
CHEMBL1000132,CHEMBL219,D1 dopamine receptor,CHEMBL1900013,Ki,2.99,nM,8.52,BINDING,ChEMBL,342.5,2.4,5,3
CHEMBL1000133,CHEMBL205,Histamine H2 receptor,CHEMBL1900013,IC50,1.0,nM,9.0,BINDING,ChEMBL,300.2,3.07,1,3
CHEMBL1000134,CHEMBL302,Cyclooxygenase-1,CHEMBL1900013,IC50,90.04,nM,7.05,BINDING,ChEMBL,407.6,4.24,3,0
CHEMBL1000135,CHEMBL388,Tumor necrosis factor,CHEMBL1900013,Ki,0.96,nM,9.02,BINDING,ChEMBL,279.0,1.98,4,4
CHEMBL1000136,CHEMBL231,Histamine H1 receptor,CHEMBL1900013,Ki,214184.27,nM,3.67,BINDING,ChEMBL,305.9,5.57,1,3
CHEMBL1000137,CHEMBL218,Dopamine D2 receptor,CHEMBL1900013,EC50,186.69,nM,6.73,BINDING,ChEMBL,284.5,2.5,1,4
CHEMBL1000138,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900013,Ki,10426.89,nM,4.98,BINDING,ChEMBL,388.4,0.86,7,2
CHEMBL1000139,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900013,Ki,17.32,nM,7.76,BINDING,ChEMBL,361.3,0.38,3,3
CHEMBL1000140,CHEMBL219,D1 dopamine receptor,CHEMBL1900014,Ki,80149.39,nM,4.1,BINDING,ChEMBL,347.8,4.63,3,1
CHEMBL1000141,CHEMBL205,Histamine H2 receptor,CHEMBL1900014,Ki,0.33,nM,9.48,BINDING,ChEMBL,342.0,2.26,3,2
CHEMBL1000142,CHEMBL302,Cyclooxygenase-1,CHEMBL1900014,EC50,13529.87,nM,4.87,BINDING,ChEMBL,358.1,1.14,3,4
CHEMBL1000143,CHEMBL388,Tumor necrosis factor,CHEMBL1900014,EC50,237167.42,nM,3.62,BINDING,ChEMBL,413.5,0.99,4,1
CHEMBL1000144,CHEMBL231,Histamine H1 receptor,CHEMBL1900014,EC50,10282.73,nM,4.99,BINDING,ChEMBL,431.4,5.7,3,2
CHEMBL1000145,CHEMBL218,Dopamine D2 receptor,CHEMBL1900014,EC50,61173.99,nM,4.21,BINDING,ChEMBL,384.9,3.58,4,3
CHEMBL1000146,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900014,Ki,17954.85,nM,4.75,BINDING,ChEMBL,443.0,1.58,5,3
CHEMBL1000147,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900014,IC50,12.27,nM,7.91,BINDING,ChEMBL,272.1,2.49,5,2
CHEMBL1000148,CHEMBL219,D1 dopamine receptor,CHEMBL1900014,Ki,17.87,nM,7.75,BINDING,ChEMBL,355.4,3.52,3,4
CHEMBL1000149,CHEMBL205,Histamine H2 receptor,CHEMBL1900014,IC50,8.18,nM,8.09,BINDING,ChEMBL,334.0,1.1,2,5
CHEMBL1000150,CHEMBL302,Cyclooxygenase-1,CHEMBL1900015,IC50,1.44,nM,8.84,BINDING,ChEMBL,445.0,5.61,3,2
CHEMBL1000151,CHEMBL388,Tumor necrosis factor,CHEMBL1900015,IC50,21.41,nM,7.67,BINDING,ChEMBL,336.8,4.07,3,1
CHEMBL1000152,CHEMBL231,Histamine H1 receptor,CHEMBL1900015,IC50,15077.93,nM,4.82,BINDING,ChEMBL,411.1,4.01,6,3
CHEMBL1000153,CHEMBL218,Dopamine D2 receptor,CHEMBL1900015,EC50,1445.62,nM,5.84,BINDING,ChEMBL,419.7,0.88,3,0
CHEMBL1000154,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900015,EC50,35.76,nM,7.45,BINDING,ChEMBL,407.9,3.3,5,3
CHEMBL1000155,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900015,IC50,1572.08,nM,5.8,BINDING,ChEMBL,332.3,3.01,5,4
CHEMBL1000156,CHEMBL219,D1 dopamine receptor,CHEMBL1900015,Ki,1146.19,nM,5.94,BINDING,ChEMBL,348.4,2.14,3,1
CHEMBL1000157,CHEMBL205,Histamine H2 receptor,CHEMBL1900015,Ki,0.14,nM,9.87,BINDING,ChEMBL,341.6,2.3,1,4
CHEMBL1000158,CHEMBL302,Cyclooxygenase-1,CHEMBL1900015,Ki,1210.5,nM,5.92,BINDING,ChEMBL,371.2,3.27,5,4
CHEMBL1000159,CHEMBL388,Tumor necrosis factor,CHEMBL1900015,IC50,36.75,nM,7.43,BINDING,ChEMBL,356.0,0.58,1,4
CHEMBL1000160,CHEMBL231,Histamine H1 receptor,CHEMBL1900016,Ki,5.64,nM,8.25,BINDING,ChEMBL,314.8,-0.15,0,1
CHEMBL1000161,CHEMBL218,Dopamine D2 receptor,CHEMBL1900016,Ki,154021.36,nM,3.81,BINDING,ChEMBL,356.6,0.75,0,0
CHEMBL1000162,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900016,IC50,12.64,nM,7.9,BINDING,ChEMBL,200.0,2.64,2,1
CHEMBL1000163,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900016,IC50,169.74,nM,6.77,BINDING,ChEMBL,318.1,1.72,4,4
CHEMBL1000164,CHEMBL219,D1 dopamine receptor,CHEMBL1900016,Ki,2119.14,nM,5.67,BINDING,ChEMBL,283.4,-0.15,1,2
CHEMBL1000165,CHEMBL205,Histamine H2 receptor,CHEMBL1900016,IC50,10.47,nM,7.98,BINDING,ChEMBL,262.8,4.19,1,5
CHEMBL1000166,CHEMBL302,Cyclooxygenase-1,CHEMBL1900016,IC50,74554.09,nM,4.13,BINDING,ChEMBL,339.7,0.24,1,0
CHEMBL1000167,CHEMBL388,Tumor necrosis factor,CHEMBL1900016,IC50,710016.22,nM,3.15,BINDING,ChEMBL,387.7,3.51,3,6
CHEMBL1000168,CHEMBL231,Histamine H1 receptor,CHEMBL1900016,IC50,353.03,nM,6.45,BINDING,ChEMBL,432.6,3.85,2,1
CHEMBL1000169,CHEMBL218,Dopamine D2 receptor,CHEMBL1900016,IC50,45423.97,nM,4.34,BINDING,ChEMBL,237.0,3.96,1,2
CHEMBL1000170,CHEMBL213,Serotonin 1a (5-HT1a) receptor,CHEMBL1900017,IC50,9.42,nM,8.03,BINDING,ChEMBL,285.2,3.01,1,3
CHEMBL1000171,CHEMBL228,Beta-1 adrenergic receptor,CHEMBL1900017,Ki,4036.78,nM,5.39,BINDING,ChEMBL,329.3,4.42,2,4
