compound_id,target_id,target_name,assay_id,assay_description,standard_type,standard_value,standard_units,pchembl_value,activity_type,document_id,published_year,source
CHEMBL2028116,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900037,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,64.45,nM,7.19,INHIBITION,CHEMBL3800007,2023,ChEMBL
CHEMBL2031750,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900038,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,95.32,nM,7.02,INHIBITION,CHEMBL3800007,2022,ChEMBL
CHEMBL2062047,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900039,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,48.49,nM,7.31,INHIBITION,CHEMBL3800007,2023,ChEMBL
CHEMBL2060472,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900040,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,4.87,nM,8.31,INHIBITION,CHEMBL3800008,2022,ChEMBL
CHEMBL2064106,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900041,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,1.39,nM,8.86,INHIBITION,CHEMBL3800008,2023,ChEMBL
CHEMBL2062531,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900042,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,13.75,nM,7.86,INHIBITION,CHEMBL3800008,2022,ChEMBL
CHEMBL2098037,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900043,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,139.68,nM,6.85,INHIBITION,CHEMBL3800008,2023,ChEMBL
CHEMBL2096462,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900044,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,34.34,nM,7.46,INHIBITION,CHEMBL3800008,2022,ChEMBL
CHEMBL2094887,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900045,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,0.86,nM,9.06,INHIBITION,CHEMBL3800009,2023,ChEMBL
CHEMBL2098521,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900046,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,25.88,nM,7.59,INHIBITION,CHEMBL3800009,2022,ChEMBL
CHEMBL2028818,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900047,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,62.95,nM,7.2,INHIBITION,CHEMBL3800009,2023,ChEMBL
CHEMBL2032452,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900048,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,52.44,nM,7.28,INHIBITION,CHEMBL3800009,2022,ChEMBL
CHEMBL2030877,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900049,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,13.9,nM,7.86,INHIBITION,CHEMBL3800009,2023,ChEMBL
CHEMBL2034511,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900050,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,203.47,nM,6.69,INHIBITION,CHEMBL3800010,2022,ChEMBL
CHEMBL2081320,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900051,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,100.41,nM,7.0,INHIBITION,CHEMBL3800010,2023,ChEMBL
CHEMBL2011617,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900052,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,3.84,nM,8.42,INHIBITION,CHEMBL3800010,2022,ChEMBL
CHEMBL2066867,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900053,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,14.83,nM,7.83,INHIBITION,CHEMBL3800010,2023,ChEMBL
CHEMBL2013676,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900054,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,25.29,nM,7.6,INHIBITION,CHEMBL3800010,2022,ChEMBL
CHEMBL2068926,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900055,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,3.4,nM,8.47,INHIBITION,CHEMBL3800011,2023,ChEMBL
CHEMBL2047607,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900056,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,159.24,nM,6.8,INHIBITION,CHEMBL3800011,2022,ChEMBL
CHEMBL2002857,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900057,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,67.25,nM,7.17,INHIBITION,CHEMBL3800011,2023,ChEMBL
CHEMBL2049666,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900058,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,15.99,nM,7.8,INHIBITION,CHEMBL3800011,2022,ChEMBL
CHEMBL2048091,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900059,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,17.34,nM,7.76,INHIBITION,CHEMBL3800011,2023,ChEMBL
CHEMBL2083597,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900060,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,822.94,nM,6.08,INHIBITION,CHEMBL3800012,2022,ChEMBL
CHEMBL2082022,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900061,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,83.3,nM,7.08,INHIBITION,CHEMBL3800012,2023,ChEMBL
CHEMBL2085656,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900062,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,45.84,nM,7.34,INHIBITION,CHEMBL3800012,2022,ChEMBL
CHEMBL2084081,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900063,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,12.47,nM,7.9,INHIBITION,CHEMBL3800012,2023,ChEMBL
CHEMBL2071203,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900064,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,17.48,nM,7.76,INHIBITION,CHEMBL3800012,2022,ChEMBL
CHEMBL2018012,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900065,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,37.54,nM,7.43,INHIBITION,CHEMBL3800013,2023,ChEMBL
CHEMBL2016437,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900066,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,2622.84,nM,5.58,INHIBITION,CHEMBL3800013,2022,ChEMBL
CHEMBL2020071,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900067,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,33.61,nM,7.47,INHIBITION,CHEMBL3800013,2023,ChEMBL
CHEMBL2050368,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900068,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,27.53,nM,7.56,INHIBITION,CHEMBL3800013,2022,ChEMBL
CHEMBL2054002,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900069,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,0.11,nM,9.96,INHIBITION,CHEMBL3800013,2023,ChEMBL
CHEMBL2052427,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900070,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,49.24,nM,7.31,INHIBITION,CHEMBL3800014,2022,ChEMBL
CHEMBL2050852,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900071,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,15.79,nM,7.8,INHIBITION,CHEMBL3800014,2023,ChEMBL
CHEMBL2086358,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900072,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,2.28,nM,8.64,INHIBITION,CHEMBL3800014,2022,ChEMBL
CHEMBL2084783,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900073,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,5.6,nM,8.25,INHIBITION,CHEMBL3800014,2023,ChEMBL
CHEMBL2088417,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900074,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,1.25,nM,8.9,INHIBITION,CHEMBL3800014,2022,ChEMBL
CHEMBL2086842,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900075,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,797.72,nM,6.1,INHIBITION,CHEMBL3800015,2023,ChEMBL
CHEMBL2090476,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900076,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,309.41,nM,6.51,INHIBITION,CHEMBL3800015,2022,ChEMBL
CHEMBL2020773,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900077,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,116.49,nM,6.93,INHIBITION,CHEMBL3800015,2023,ChEMBL
CHEMBL2067582,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900078,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,1123.73,nM,5.95,INHIBITION,CHEMBL3800015,2022,ChEMBL
CHEMBL2022832,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900079,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,27.0,nM,7.57,INHIBITION,CHEMBL3800015,2023,ChEMBL
CHEMBL2069641,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900080,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,262.68,nM,6.58,INHIBITION,CHEMBL3800016,2022,ChEMBL
CHEMBL2056763,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900081,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,0.89,nM,9.05,INHIBITION,CHEMBL3800016,2023,ChEMBL
CHEMBL2003572,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900082,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,191.98,nM,6.72,INHIBITION,CHEMBL3800016,2022,ChEMBL
CHEMBL2058822,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900083,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,66.38,nM,7.18,INHIBITION,CHEMBL3800016,2023,ChEMBL
CHEMBL2005631,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900084,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,4.86,nM,8.31,INHIBITION,CHEMBL3800016,2022,ChEMBL
CHEMBL2035928,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900085,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,538.1,nM,6.27,INHIBITION,CHEMBL3800017,2023,ChEMBL
CHEMBL2091178,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900086,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,1280.81,nM,5.89,INHIBITION,CHEMBL3800017,2022,ChEMBL
CHEMBL2037987,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900087,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,20.67,nM,7.68,INHIBITION,CHEMBL3800017,2023,ChEMBL
CHEMBL2041621,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900088,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,17.38,nM,7.76,INHIBITION,CHEMBL3800017,2022,ChEMBL
CHEMBL2071918,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900089,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,5.23,nM,8.28,INHIBITION,CHEMBL3800017,2023,ChEMBL
CHEMBL2070343,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900090,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,9.51,nM,8.02,INHIBITION,CHEMBL3800018,2022,ChEMBL
CHEMBL2073977,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900091,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,15.96,nM,7.8,INHIBITION,CHEMBL3800018,2023,ChEMBL
CHEMBL2072402,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900092,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,151.36,nM,6.82,INHIBITION,CHEMBL3800018,2022,ChEMBL
CHEMBL2007908,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900093,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,18.52,nM,7.73,INHIBITION,CHEMBL3800018,2023,ChEMBL
CHEMBL2006333,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900094,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,16.1,nM,7.79,INHIBITION,CHEMBL3800018,2022,ChEMBL
CHEMBL2009967,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900095,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,163.81,nM,6.79,INHIBITION,CHEMBL3800019,2023,ChEMBL
CHEMBL2008392,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900096,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,0.43,nM,9.37,INHIBITION,CHEMBL3800019,2022,ChEMBL
CHEMBL2038689,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900097,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,10.62,nM,7.97,INHIBITION,CHEMBL3800019,2023,ChEMBL
CHEMBL2042323,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900098,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,298.32,nM,6.53,INHIBITION,CHEMBL3800019,2022,ChEMBL
CHEMBL2040748,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900099,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,5.16,nM,8.29,INHIBITION,CHEMBL3800019,2023,ChEMBL
CHEMBL2044382,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900100,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,3.44,nM,8.46,INHIBITION,CHEMBL3800020,2022,ChEMBL
CHEMBL2042807,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900101,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,12.22,nM,7.91,INHIBITION,CHEMBL3800020,2023,ChEMBL
CHEMBL2078313,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900102,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,55.64,nM,7.25,INHIBITION,CHEMBL3800020,2022,ChEMBL
CHEMBL2076738,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900103,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,179.36,nM,6.75,INHIBITION,CHEMBL3800020,2023,ChEMBL
CHEMBL2023547,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900104,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,37.77,nM,7.42,INHIBITION,CHEMBL3800020,2022,ChEMBL
CHEMBL2078797,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900105,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,14.42,nM,7.84,INHIBITION,CHEMBL3800021,2023,ChEMBL
CHEMBL2009094,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900106,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,30.69,nM,7.51,INHIBITION,CHEMBL3800021,2022,ChEMBL
CHEMBL2012728,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900107,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,1.11,nM,8.95,INHIBITION,CHEMBL3800021,2023,ChEMBL
CHEMBL2011153,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900108,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,7.49,nM,8.13,INHIBITION,CHEMBL3800021,2022,ChEMBL
CHEMBL2014787,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900109,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),IC50,227.59,nM,6.64,INHIBITION,CHEMBL3800021,2023,ChEMBL
CHEMBL2045084,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900110,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,372.3,nM,6.43,INHIBITION,CHEMBL3800022,2022,ChEMBL
CHEMBL2091893,CHEMBL341,EGFR (Epidermal Growth Factor Receptor),CHEMBL1900111,Kinase inhibition assay: EGFR (Epidermal Growth Factor Receptor),Ki,10.41,nM,7.98,INHIBITION,CHEMBL3800022,2023,ChEMBL
